股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK0835,独角兽,0.55,2336.47,2339.0,2289.32,2307.15,12.69,1.38,1.23,22.18,25544242,52019570377.0,2323.78,5159406848000,4468250880000,90.BK0835,板块,2026-02-06 11:17:45,2026-02-06
BK0707,沪股通,0.55,2683.6,2688.13,2640.14,2648.22,14.69,0.65,1.07,16.33,292467856,492376320705.0,2668.91,74993770496000,59575077120000,90.BK0707,板块,2026-02-06 11:17:45,2026-02-06
BK0638,创业成份,0.55,2477.68,2481.89,2421.67,2441.07,13.54,2.0,1.15,42.73,24312108,132423230530.0,2464.14,9057265920000,7735314688000,90.BK0638,板块,2026-02-06 11:17:45,2026-02-06
BK1197,反内卷概念,0.55,1163.74,1169.36,1141.84,1145.48,6.41,1.14,0.98,41.38,51984816,50599030507.0,1157.33,5397162240000,4766321152000,90.BK1197,板块,2026-02-06 11:17:42,2026-02-06
BK0706,人脑工程,0.54,6346.92,6354.78,6218.14,6274.38,33.78,1.98,1.04,63.25,8454482,15961007458.0,6313.14,1049880640000,923692688000,90.BK0706,板块,2026-02-06 11:17:45,2026-02-06
BK1631,昨日炸板,0.54,1059.41,1062.49,1031.54,1041.23,5.66,3.04,0.56,53.39,4872969,6370241044.0,1053.75,113603025000,99824219000,90.BK1631,板块,2026-02-06 11:17:42,2026-02-06
BK1059,百元股,0.54,868.77,870.16,849.55,854.84,4.63,1.54,1.07,48.52,9714774,194670631249.0,864.14,17542149120000,14283388928000,90.BK1059,板块,2026-02-06 11:17:45,2026-02-06
BK1132,MLOps概念,0.54,1244.15,1248.38,1216.41,1228.11,6.66,1.74,1.29,58.38,1131620,3205507480.0,1237.49,166004503000,162294249000,90.BK1132,板块,2026-02-06 11:17:45,2026-02-06
BK0891,国产芯片,0.53,4667.79,4674.07,4579.79,4598.11,24.63,1.79,1.09,64.54,58301100,195077871313.0,4643.16,13813996032000,11370700032000,90.BK0891,板块,2026-02-06 11:17:45,2026-02-06
BK0837,互联医疗,0.53,1168.84,1171.54,1157.64,1160.71,6.12,1.55,1.64,15.6,19575601,24930528184.0,1162.72,4815788288000,2191570608000,90.BK0837,板块,2026-02-06 11:17:45,2026-02-06
BK0886,智慧政务,0.53,1670.31,1671.99,1635.66,1650.86,8.84,1.92,1.06,-250.79,9794662,15060966518.0,1661.47,792831200000,718984496000,90.BK0886,板块,2026-02-06 11:17:45,2026-02-06
BK0867,富时罗素,0.53,1952.83,1956.96,1920.47,1928.65,10.21,0.82,1.11,17.37,374072135,648416648064.0,1942.62,75147071488000,63460177920000,90.BK0867,板块,2026-02-06 11:17:45,2026-02-06
