股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
113636,甬金转债,0.88,127.611,128.01,125.998,126.237,1.111,2.33,1.54,-,23309,29710233.0,126.5,1275482154,1275482154,1.113636,沪A,2026-02-06 11:17:44,2026-02-06
123223,九典转02,0.88,143.787,144.408,142.543,143.144,1.257,5.77,1.84,-,11843,17012327.548,142.53,295160490,295160490,0.123223,深A,2026-02-06 11:17:33,2026-02-06
123146,中环转2,0.87,146.061,146.138,142.874,145.5,1.261,3.53,0.7,-,22460,32471208.448,144.8,928430904,928430904,0.123146,深A,2026-02-06 11:17:42,2026-02-06
127059,永东转2,0.87,136.54,137.3,134.625,135.22,1.182,2.75,0.69,-,10442,14242072.92,135.358,517583953,517583953,0.127059,深A,2026-02-06 11:17:42,2026-02-06
111000,起帆转债,0.86,141.997,143.157,139.393,141.0,1.204,4.11,0.99,-,41050,58143471.0,140.793,1418843964,1418843964,1.111000,沪A,2026-02-06 11:17:42,2026-02-06
113631,皖天转债,0.86,140.927,141.359,139.129,139.746,1.201,3.38,0.95,-,20169,28348863.0,139.726,839754398,839754398,1.113631,沪A,2026-02-06 11:17:43,2026-02-06
110093,神马转债,0.86,137.359,137.881,135.2,135.8,1.173,1.22,0.7,-,27113,37130951.0,136.186,3049188486,3049188486,1.110093,沪A,2026-02-06 11:17:43,2026-02-06
113655,欧22转债,0.86,143.397,143.807,141.112,141.7,1.224,1.97,0.76,-,39448,56245693.0,142.173,2867805207,2867805207,1.113655,沪A,2026-02-06 11:17:43,2026-02-06
123224,宇邦转债,0.84,159.142,161.0,155.836,158.17,1.322,9.17,0.31,-,26107,41474134.748,157.82,453290365,453290365,0.123224,深A,2026-02-06 11:17:21,2026-02-06
111016,神通转债,0.83,115.987,116.05,113.7,114.55,0.956,33.4,0.81,-,48069,55209296.0,115.031,166932782,166932782,1.111016,沪A,2026-02-06 11:17:43,2026-02-06
123216,科顺转债,0.83,143.883,144.118,140.094,140.094,1.185,2.84,0.57,-,62486,89006524.007,142.698,3162292516,3162292516,0.123216,深A,2026-02-06 11:17:42,2026-02-06
113660,寿22转债,0.81,129.223,138.488,128.879,135.0,1.043,39.08,28.09,-,155417,207415067.0,128.18,513905656,513905656,1.113660,沪A,2026-02-06 11:17:45,2026-02-06
110097,天润转债,0.8,154.627,154.87,152.621,153.3,1.232,0.97,0.49,-,9552,14703919.0,153.395,1529248660,1529248660,1.110097,沪A,2026-02-06 11:17:45,2026-02-06
123247,万凯转债,0.79,241.468,245.377,237.283,238.092,1.888,3.23,1.23,-,63512,153193782.855,239.58,4743253719,4743253719,0.123247,深A,2026-02-06 11:17:42,2026-02-06
127084,柳工转2,0.78,206.599,209.432,201.101,204.611,1.598,2.42,0.86,-,59989,123074218.391,205.001,5125649087,5125649087,0.127084,深A,2026-02-06 11:17:42,2026-02-06
113058,友发转债,0.78,155.237,156.0,153.03,154.03,1.202,2.18,0.68,-,40697,63092047.0,154.035,2893383272,2893383272,1.113058,沪A,2026-02-06 11:17:43,2026-02-06
113650,博22转债,0.78,128.473,129.699,127.076,127.205,0.999,5.44,2.38,-,43524,56026871.0,127.474,1027212295,1027212295,1.113650,沪A,2026-02-06 11:17:44,2026-02-06
127038,国微转债,0.78,135.758,136.198,133.962,134.7,1.047,2.09,1.16,-,31230,42266508.502,134.711,2025014658,2025014658,0.127038,深A,2026-02-06 11:17:42,2026-02-06
110077,洪城转债,0.77,220.543,225.0,216.0,218.167,1.684,2.56,0.82,-,17138,37902136.0,218.859,1474261587,1474261587,1.110077,沪A,2026-02-06 11:17:44,2026-02-06
123214,东宝转债,0.77,135.136,135.958,133.706,134.05,1.029,1.61,0.87,-,7318,9878362.24,134.107,614824205,614824205,0.123214,深A,2026-02-06 11:17:42,2026-02-06
118054,安集转债,0.77,246.092,249.123,240.0,242.0,1.886,9.61,1.16,-,79733,195899207.0,244.206,2041161860,2041161860,1.118054,沪A,2026-02-06 11:17:43,2026-02-06
123172,漱玉转债,0.77,139.187,139.735,137.13,138.124,1.063,5.2,1.22,-,41362,57195107.856,138.124,1107948145,1107948145,0.123172,深A,2026-02-06 11:17:42,2026-02-06
110090,爱迪转债,0.76,144.506,144.975,141.801,143.5,1.089,2.22,0.89,-,34910,50139955.0,143.417,2268210973,2268210973,1.110090,沪A,2026-02-06 11:17:43,2026-02-06
110098,南药转债,0.76,139.099,139.9,137.91,137.91,1.05,1.6,0.72,-,17275,23997426.0,138.049,1504230496,1504230496,1.110098,沪A,2026-02-06 11:17:42,2026-02-06
113693,志邦转债,0.75,132.763,133.22,131.789,132.018,0.989,1.25,0.79,-,8350,11074356.0,131.774,889488203,889488203,1.113693,沪A,2026-02-06 11:17:44,2026-02-06
123124,晶瑞转2,0.75,147.189,147.622,144.601,145.8,1.089,2.01,0.62,-,10523,15399824.73,146.1,769028524,769028524,0.123124,深A,2026-02-06 11:17:39,2026-02-06
127095,广泰转债,0.75,149.987,150.329,147.672,149.129,1.119,3.46,0.91,-,23986,35785663.16,148.868,1039026993,1039026993,0.127095,深A,2026-02-06 11:17:42,2026-02-06
113048,晶科转债,0.74,128.973,129.9,126.826,127.801,0.945,2.35,0.91,-,53924,69326605.0,128.028,2960782862,2960782862,1.113048,沪A,2026-02-06 11:17:42,2026-02-06
127089,晶澳转债,0.74,130.553,131.28,128.872,129.519,0.953,1.05,0.67,-,93710,122209121.45,129.6,11696062324,11696062324,0.127089,深A,2026-02-06 11:17:39,2026-02-06
123189,晓鸣转债,0.74,144.589,145.8,141.81,143.15,1.059,21.52,0.5,-,70749,101683001.556,143.53,475261296,475261296,0.123189,深A,2026-02-06 11:17:39,2026-02-06
123054,思特转债,0.74,152.0,152.878,149.155,150.375,1.118,15.04,1.01,-,25065,37949532.07,150.882,253374120,253374120,0.123054,深A,2026-02-06 11:17:39,2026-02-06
123131,奥飞转债,0.74,288.694,289.43,273.001,283.0,2.115,69.1,1.34,-,218483,617845838.97,286.579,912749385,912749385,0.123131,深A,2026-02-06 11:17:42,2026-02-06
123221,力诺转债,0.74,132.577,132.948,131.334,131.49,0.977,4.48,0.53,-,18129,23973067.0,131.6,535967314,535967314,0.123221,深A,2026-02-06 11:17:42,2026-02-06
111018,华康转债,0.73,137.273,138.034,135.8,136.448,0.995,1.94,1.08,-,25198,34556423.0,136.278,1787590970,1787590970,1.111018,沪A,2026-02-06 11:17:40,2026-02-06
118039,煜邦转债,0.73,135.981,136.346,134.835,134.996,0.985,6.55,1.0,-,26890,36490048.0,134.996,558072823,558072823,1.118039,沪A,2026-02-06 11:17:44,2026-02-06
118007,山石转债,0.73,144.035,145.3,141.662,142.986,1.049,4.22,0.8,-,11274,16155649.0,142.986,384792383,384792383,1.118007,沪A,2026-02-06 11:17:40,2026-02-06
123250,嘉益转债,0.72,130.5,131.699,129.121,129.288,0.93,7.48,4.72,-,29598,38633847.62,129.57,516149033,516149033,0.123250,深A,2026-02-06 11:17:42,2026-02-06
123107,温氏转债,0.72,131.88,132.3,130.501,130.995,0.945,1.0,1.24,-,76953,101236366.15,130.935,10163178164,10163178164,0.123107,深A,2026-02-06 11:17:42,2026-02-06
123150,九强转债,0.71,127.708,127.9,126.442,126.6,0.906,1.15,0.84,-,12893,16431155.36,126.802,1431634903,1431634903,0.123150,深A,2026-02-06 11:17:36,2026-02-06
123133,佩蒂转债,0.71,139.68,139.997,138.1,138.333,0.979,0.57,0.26,-,4117,5725579.24,138.701,1005368590,1005368590,0.123133,深A,2026-02-06 11:17:39,2026-02-06
110086,精工转债,0.71,134.145,134.687,132.604,133.046,0.944,1.07,0.61,-,21303,28505064.0,133.201,2682788660,2682788660,1.110086,沪A,2026-02-06 11:17:44,2026-02-06
123176,精测转2,0.7,264.076,265.905,256.5,257.0,1.835,5.24,0.79,-,66791,174623933.81,262.241,3367959021,3367959021,0.123176,深A,2026-02-06 11:17:42,2026-02-06
123193,海能转债,0.7,134.235,134.826,132.691,133.398,0.933,1.38,0.78,-,8249,11053398.976,133.302,805065553,805065553,0.123193,深A,2026-02-06 11:17:42,2026-02-06
123071,天能转债,0.69,127.646,128.0,126.001,126.498,0.876,1.8,0.83,-,12481,15893627.6,126.77,885507618,885507618,0.123071,深A,2026-02-06 11:17:42,2026-02-06
111023,利柏转债,0.69,195.816,197.454,188.0,188.0,1.346,8.68,0.6,-,65039,126538580.0,194.47,1467964408,1467964408,1.111023,沪A,2026-02-06 11:17:43,2026-02-06
113670,金23转债,0.69,127.994,128.5,126.85,127.021,0.873,1.16,0.69,-,8968,11449462.0,127.121,985541001,985541001,1.113670,沪A,2026-02-06 11:17:40,2026-02-06
123080,海波转债,0.68,143.504,143.797,141.601,142.53,0.972,4.96,0.84,-,7363,10525729.69,142.532,213231302,213231302,0.123080,深A,2026-02-06 11:17:39,2026-02-06
127093,章鼓转债,0.68,140.653,140.98,139.116,140.0,0.953,2.55,0.47,-,6180,8667178.5,139.7,341107717,341107717,0.127093,深A,2026-02-06 11:17:27,2026-02-06
118055,伟测转债,0.68,215.913,216.69,206.14,212.5,1.456,10.97,0.96,-,128840,273486953.0,214.457,2536854896,2536854896,1.118055,沪A,2026-02-06 11:17:45,2026-02-06
113692,保隆转债,0.68,136.311,136.5,134.243,135.181,0.915,1.52,0.68,-,21148,28629427.0,135.396,1894315330,1894315330,1.113692,沪A,2026-02-06 11:17:44,2026-02-06
113067,燃23转债,0.67,131.3,131.786,130.033,130.219,0.872,0.66,0.67,-,19822,25986332.0,130.428,3938880517,3938880517,1.113067,沪A,2026-02-06 11:17:44,2026-02-06
113687,振华转债,0.67,514.655,518.136,493.28,508.0,3.449,18.52,1.3,-,74894,378979200.0,511.206,2081167036,2081167036,1.113687,沪A,2026-02-06 11:17:44,2026-02-06
113651,松霖转债,0.66,284.713,293.635,278.298,281.719,1.862,32.57,1.51,-,76284,217843941.0,282.851,666780763,666780763,1.113651,沪A,2026-02-06 11:17:42,2026-02-06
113681,镇洋转债,0.66,142.714,143.083,141.1,141.64,0.933,2.26,0.95,-,13107,18629471.0,141.781,827267390,827267390,1.113681,沪A,2026-02-06 11:17:44,2026-02-06
123149,通裕转债,0.65,140.36,141.303,138.362,139.449,0.91,1.66,0.83,-,24580,34414170.931,139.45,2082380679,2082380679,0.123149,深A,2026-02-06 11:17:42,2026-02-06
123171,共同转债,0.64,130.656,131.399,129.488,129.6,0.827,3.31,2.09,-,12561,16386888.298,129.829,496346204,496346204,0.123171,深A,2026-02-06 11:17:42,2026-02-06
111009,盛泰转债,0.64,126.678,127.0,125.452,125.887,0.8,1.74,0.92,-,12170,15377214.0,125.878,888072319,888072319,1.111009,沪A,2026-02-06 11:17:44,2026-02-06
113696,伯25转债,0.63,144.303,144.585,142.25,143.3,0.901,0.89,0.59,-,24988,35847494.0,143.402,4043264719,4043264719,1.113696,沪A,2026-02-06 11:17:45,2026-02-06
111001,山玻转债,0.63,135.817,136.478,134.7,134.964,0.853,4.18,0.44,-,25052,33968760.0,134.964,814289465,814289465,1.111001,沪A,2026-02-06 11:17:42,2026-02-06
113070,渝水转债,0.61,129.393,129.868,128.266,128.463,0.782,1.2,0.74,-,22829,29498987.0,128.611,2458314316,2458314316,1.113070,沪A,2026-02-06 11:17:42,2026-02-06
113639,华正转债,0.61,171.975,173.836,163.2,168.67,1.048,53.4,0.9,-,123665,207613546.0,170.927,398231329,398231329,1.113639,沪A,2026-02-06 11:17:43,2026-02-06
113674,华设转债,0.61,139.267,139.61,138.07,138.808,0.848,3.41,0.8,-,13616,18924245.0,138.419,556879990,556879990,1.113674,沪A,2026-02-06 11:17:43,2026-02-06
111003,聚合转债,0.6,140.299,140.85,139.091,139.566,0.833,2.81,0.78,-,5711,7988912.0,139.466,285553361,285553361,1.111003,沪A,2026-02-06 11:17:43,2026-02-06
123179,立高转债,0.6,126.903,127.175,126.0,126.499,0.753,0.83,0.8,-,7868,9965898.93,126.15,1205513906,1205513906,0.123179,深A,2026-02-06 11:17:39,2026-02-06
127049,希望转2,0.6,120.774,120.88,119.652,120.053,0.721,0.62,1.02,-,50341,60618192.561,120.053,9835154361,9835154361,0.127049,深A,2026-02-06 11:17:42,2026-02-06
113575,东时转债,0.59,209.871,220.516,208.4,215.0,1.222,502.38,0.96,-,488367,1044262132.0,208.649,204017698,204017698,1.113575,沪A,2026-02-06 11:17:45,2026-02-06
127054,双箭转债,0.58,137.011,137.766,135.531,135.984,0.796,2.11,0.72,-,10820,14790321.776,136.215,703684934,703684934,0.127054,深A,2026-02-06 11:17:42,2026-02-06
113605,大参转债,0.58,135.976,136.677,134.118,135.394,0.785,1.63,0.72,-,22960,31084827.0,135.191,1909966488,1909966488,1.113605,沪A,2026-02-06 11:17:45,2026-02-06
113634,珀莱转债,0.58,133.706,134.297,132.2,132.8,0.768,4.49,1.4,-,33715,44997943.0,132.938,1003773728,1003773728,1.113634,沪A,2026-02-06 11:17:45,2026-02-06
118033,华特转债,0.58,134.315,134.63,133.2,133.301,0.778,2.01,1.14,-,12991,17393790.0,133.537,867477457,867477457,1.118033,沪A,2026-02-06 11:17:43,2026-02-06
111020,合顺转债,0.57,143.046,143.667,140.099,142.236,0.81,5.1,1.5,-,17221,24490032.0,142.236,483468301,483468301,1.111020,沪A,2026-02-06 11:17:43,2026-02-06
123092,天壕转债,0.57,134.902,135.573,133.329,134.2,0.765,3.42,0.73,-,11692,15730961.93,134.137,461702904,461702904,0.123092,深A,2026-02-06 11:17:42,2026-02-06
127104,姚记转债,0.56,177.383,178.051,172.0,175.148,0.982,3.74,0.41,-,21781,38288011.81,176.401,1032862362,1032862362,0.127104,深A,2026-02-06 11:17:42,2026-02-06
