股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK0479,钢铁行业,0.24,9795.03,9871.82,9626.98,9684.33,23.79,0.7,0.77,76.68,13788904,7425297340.0,9771.24,1096763664000,994103936000,90.BK0479,板块,2026-02-06 11:17:45,2026-02-06
BK0738,多元金融,0.22,712.12,714.44,701.81,703.44,1.59,0.58,1.19,36.05,3745356,2762539566.0,710.53,502810176000,475797616000,90.BK0738,板块,2026-02-06 11:17:42,2026-02-06
BK1042,医药商业,0.21,1294.23,1306.32,1287.77,1293.74,2.66,1.57,1.7,21.35,4058875,4501737322.0,1291.57,367682464000,310931232000,90.BK1042,板块,2026-02-06 11:17:42,2026-02-06
BK0438,食品饮料,0.2,31161.83,31179.84,30879.27,30984.45,61.67,1.42,1.4,35.35,10972131,13750671900.0,31100.16,1690831488000,1452853760000,90.BK0438,板块,2026-02-06 11:17:45,2026-02-06
BK1016,汽车服务,0.18,1100.6,1101.89,1088.39,1092.78,2.0,0.79,1.28,96.3,788179,557358374.0,1098.6,73164140000,69455245000,90.BK1016,板块,2026-02-06 11:17:42,2026-02-06
BK1036,半导体,0.07,2259.81,2264.77,2218.5,2232.37,1.47,1.61,0.91,168.88,12113074,86393810592.0,2258.34,8001374464000,5928494336000,90.BK1036,板块,2026-02-06 11:17:42,2026-02-06
BK0484,贸易行业,0.07,12277.6,12294.62,12096.05,12175.69,8.33,1.17,0.82,40.38,3840015,3852538414.0,12269.27,391803184000,292451856000,90.BK0484,板块,2026-02-06 11:17:45,2026-02-06
BK1035,美容护理,-0.15,1128.11,1129.18,1115.13,1117.48,-1.71,1.34,1.36,47.14,1251356,3807670724.0,1129.82,296105888000,245609217000,90.BK1035,板块,2026-02-06 11:17:42,2026-02-06
BK0473,证券,-0.17,154665.68,155351.32,153774.35,154086.2,-264.73,0.45,0.9,16.24,11556778,13546732900.0,154930.41,3578784320000,3049004832000,90.BK0473,板块,2026-02-06 11:17:45,2026-02-06
BK0451,房地产开发,-0.24,15592.93,15649.91,15461.08,15574.91,-37.57,1.0,0.94,-5.71,18844168,9400610519.0,15630.5,1135512224000,1021137360000,90.BK0451,板块,2026-02-06 11:17:45,2026-02-06
BK0474,保险,-0.37,1689.23,1700.0,1675.14,1685.5,-6.3,0.13,0.82,8.0,1001543,4761049958.0,1695.53,3635384016000,2497685552000,90.BK0474,板块,2026-02-06 11:17:45,2026-02-06
BK0475,银行,-0.45,4125.52,4160.09,4107.39,4144.18,-18.7,0.19,1.14,6.7,24546285,17914137688.0,4144.22,14554881536000,9770727680000,90.BK0475,板块,2026-02-06 11:17:45,2026-02-06
BK0421,铁路公路,-0.48,9256.38,9276.58,9201.83,9276.58,-44.47,0.33,1.02,15.93,3385343,2103287534.0,9300.85,692270144000,619063312000,90.BK0421,板块,2026-02-06 11:17:45,2026-02-06
BK0450,航运港口,-0.49,11999.44,12047.53,11887.47,11997.21,-58.65,0.43,0.9,11.47,6628414,4412913279.0,12058.09,1129799008000,950450880000,90.BK0450,板块,2026-02-06 11:17:45,2026-02-06
BK0486,文化传媒,-0.56,12355.41,12376.9,12040.72,12299.79,-69.35,2.85,1.18,72.87,31730402,41345833017.0,12424.76,1271275968000,1175931920000,90.BK0486,板块,2026-02-06 11:17:45,2026-02-06
BK0437,煤炭行业,-0.56,12746.93,12847.77,12573.29,12694.08,-72.11,1.07,1.04,16.68,11282491,8817418488.0,12819.04,1946535280000,1632315536000,90.BK0437,板块,2026-02-06 11:17:45,2026-02-06
BK0480,航天航空,-0.73,68291.57,68770.29,67111.29,68063.24,-502.48,1.75,1.09,208.16,6555421,22143392746.0,68794.05,1500665184000,1241975008000,90.BK0480,板块,2026-02-06 11:17:45,2026-02-06
BK0420,航空机场,-1.19,5704.09,5748.09,5682.57,5741.57,-68.55,0.47,0.82,174.61,4984545,2982930215.0,5772.64,901533792000,668617632000,90.BK0420,板块,2026-02-06 11:17:45,2026-02-06
BK0729,船舶制造,-1.23,1339.18,1359.13,1327.62,1343.6,-16.64,2.05,1.09,49.84,3179481,6986721140.0,1355.82,506572272000,410805648000,90.BK0729,板块,2026-02-06 11:17:42,2026-02-06
BK0482,商业百货,-1.44,20631.62,20801.92,20391.72,20801.92,-301.59,1.73,1.65,40077.86,15718223,12832835497.0,20933.21,591416656000,549488176000,90.BK0482,板块,2026-02-06 11:17:45,2026-02-06
BK0485,旅游酒店,-1.7,18054.61,18261.18,17894.87,18256.69,-311.91,2.34,1.32,65.31,5107937,7329299997.0,18366.52,461712304000,406999552000,90.BK0485,板块,2026-02-06 11:17:45,2026-02-06
BK0477,酿酒行业,-1.77,48776.35,49502.34,48495.64,49323.02,-876.41,1.06,0.93,19.57,3246078,18362238470.0,49652.76,3368449104000,3261486720000,90.BK0477,板块,2026-02-06 11:17:45,2026-02-06
